                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    107,                0.15947,                0.88785,                      1,                0.42236,             0.00052668,             0.00052668,             0.00052668
                    108,                0.14441,                0.94766,                      1,                0.38019,             0.00052491,             0.00052491,             0.00052491
                    109,                0.14008,                0.96449,                      1,                0.35938,             0.00052315,             0.00052315,             0.00052315
                    110,                0.11802,                0.94112,                      1,                0.42218,             0.00052138,             0.00052138,             0.00052138
                    111,                0.14323,                0.94953,                      1,                0.36188,             0.00051961,             0.00051961,             0.00051961
                    112,                0.12682,                0.95888,                      1,                0.36292,             0.00051785,             0.00051785,             0.00051785
                    113,                0.14581,                0.88692,                      1,                0.42065,             0.00051608,             0.00051608,             0.00051608
                    114,                0.13713,                0.95981,                      1,                0.36682,             0.00051431,             0.00051431,             0.00051431
                    115,                0.12097,                0.94019,                      1,                0.41095,             0.00051254,             0.00051254,             0.00051254
                    116,                0.13521,                0.95888,                      1,                0.35919,             0.00051078,             0.00051078,             0.00051078
                    117,                0.12668,                0.96636,                      1,                0.35614,             0.00050901,             0.00050901,             0.00050901
                    118,                0.14521,                0.95514,                      1,                0.40314,             0.00050724,             0.00050724,             0.00050724
                    119,                0.13521,                0.94766,                      1,                0.36456,             0.00050548,             0.00050548,             0.00050548
                    120,                0.11603,                0.95794,                      1,                0.36511,             0.00050371,             0.00050371,             0.00050371
                    121,                0.13234,                0.95047,                      1,                0.37384,             0.00050194,             0.00050194,             0.00050194
                    122,                0.13119,                0.96075,                      1,                0.36176,             0.00050017,             0.00050017,             0.00050017
                    123,                0.12321,                0.94486,                      1,                0.37091,             0.00049841,             0.00049841,             0.00049841
                    124,                0.12454,                0.95794,                      1,                 0.3548,             0.00049664,             0.00049664,             0.00049664
                    125,                0.10543,                0.95794,                      1,                0.36945,             0.00049487,             0.00049487,             0.00049487
                    126,                0.12434,                0.95888,                      1,                0.36212,             0.00049311,             0.00049311,             0.00049311
                    127,                0.12495,                0.95607,                      1,                 0.3692,             0.00049134,             0.00049134,             0.00049134
                    128,                0.11823,                0.93458,                      1,                  0.383,             0.00048957,             0.00048957,             0.00048957
                    129,                0.12075,                0.93832,                      1,                0.38037,              0.0004878,              0.0004878,              0.0004878
                    130,                0.14111,                0.93645,                      1,                0.37958,             0.00048604,             0.00048604,             0.00048604
                    131,                0.11284,                0.61028,                      1,                 0.6582,             0.00048427,             0.00048427,             0.00048427
                    132,                0.11958,                0.95327,                      1,                0.36139,              0.0004825,              0.0004825,              0.0004825
                    133,                 0.1145,                0.95327,                      1,                0.36621,             0.00048074,             0.00048074,             0.00048074
                    134,                0.11388,                0.94953,                      1,                0.37134,             0.00047897,             0.00047897,             0.00047897
                    135,                0.12829,                0.95701,                      1,                0.37268,              0.0004772,              0.0004772,              0.0004772
                    136,                0.12032,                0.96075,                      1,                0.35199,             0.00047543,             0.00047543,             0.00047543
                    137,                0.12662,                0.93832,                      1,                0.38171,             0.00047367,             0.00047367,             0.00047367
                    138,                0.12354,                0.88879,                      1,                0.43829,              0.0004719,              0.0004719,              0.0004719
                    139,                0.12265,                0.94393,                      1,                0.36975,             0.00047013,             0.00047013,             0.00047013
                    140,                0.10271,                0.95794,                      1,                0.35522,             0.00046837,             0.00046837,             0.00046837
                    141,                0.11836,                0.93364,                      1,                0.37872,              0.0004666,              0.0004666,              0.0004666
                    142,                0.11843,                0.95981,                      1,                0.35297,             0.00046483,             0.00046483,             0.00046483
                    143,                0.10794,                0.96729,                      1,                0.34821,             0.00046306,             0.00046306,             0.00046306
                    144,                0.11518,                0.93458,                      1,                0.37653,              0.0004613,              0.0004613,              0.0004613
                    145,                0.12003,                0.94673,                      1,                0.37756,             0.00045953,             0.00045953,             0.00045953
                    146,                0.10356,                0.95514,                      1,                 0.3703,             0.00045776,             0.00045776,             0.00045776
                    147,                0.11147,                0.93178,                      1,                0.38312,               0.000456,               0.000456,               0.000456
                    148,                0.11478,                0.85234,                      1,                0.45233,             0.00045423,             0.00045423,             0.00045423
                    149,                0.13297,                0.95701,                      1,                0.36395,             0.00045246,             0.00045246,             0.00045246
                    150,                0.11092,                0.93271,                      1,                0.37927,             0.00045069,             0.00045069,             0.00045069
                    151,                 0.1113,                0.94486,                      1,                0.37317,             0.00044893,             0.00044893,             0.00044893
                    152,                0.13423,                0.96449,                      1,                0.34857,             0.00044716,             0.00044716,             0.00044716
                    153,                0.13307,                0.96355,                      1,                0.36005,             0.00044539,             0.00044539,             0.00044539
                    154,                 0.1124,                0.96729,                      1,                0.35144,             0.00044363,             0.00044363,             0.00044363
                    155,                0.09348,                0.96075,                      1,                0.37842,             0.00044186,             0.00044186,             0.00044186
                    156,                0.10707,                0.96542,                      1,                0.34778,             0.00044009,             0.00044009,             0.00044009
                    157,                0.11628,                0.91215,                      1,                 0.4007,             0.00043832,             0.00043832,             0.00043832
                    158,                0.11462,                0.96075,                      1,                0.36884,             0.00043656,             0.00043656,             0.00043656
                    159,                0.09453,                0.95421,                      1,                0.36725,             0.00043479,             0.00043479,             0.00043479
                    160,                0.11062,                0.91402,                      1,                0.38916,             0.00043302,             0.00043302,             0.00043302
                    161,                0.10145,                0.96262,                      1,                0.34869,             0.00043126,             0.00043126,             0.00043126
                    162,                0.11431,                0.93832,                      1,                 0.3775,             0.00042949,             0.00042949,             0.00042949
                    163,                0.11554,                0.95888,                      1,                0.35962,             0.00042772,             0.00042772,             0.00042772
                    164,                0.09395,                0.97383,                      1,                0.35004,             0.00042595,             0.00042595,             0.00042595
                    165,                0.10926,                0.95701,                      1,                0.37231,             0.00042419,             0.00042419,             0.00042419
                    166,                0.10863,                0.96542,                      1,                0.36816,             0.00042242,             0.00042242,             0.00042242
