                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    133,                0.09969,                0.95888,                      1,                0.36102,             0.00024747,             0.00024747,             0.00024747
                    134,                0.10716,                0.96355,                      1,                0.35175,             0.00024394,             0.00024394,             0.00024394
                    135,                0.09313,                0.95701,                      1,                0.36139,              0.0002404,              0.0002404,              0.0002404
                    136,                0.10347,                0.95607,                      1,                 0.3598,             0.00023687,             0.00023687,             0.00023687
                    137,                0.10235,                0.94486,                      1,                0.38159,             0.00023334,             0.00023334,             0.00023334
                    138,                0.10038,                0.96075,                      1,                 0.3548,              0.0002298,              0.0002298,              0.0002298
                    139,                 0.1266,                0.95607,                      1,                0.36047,             0.00022627,             0.00022627,             0.00022627
                    140,                0.10774,                0.96168,                      1,                0.35638,             0.00022273,             0.00022273,             0.00022273
                    141,                0.08652,                0.96449,                      1,                0.35199,              0.0002192,              0.0002192,              0.0002192
                    142,                0.09764,                0.96822,                      1,                 0.3479,             0.00021566,             0.00021566,             0.00021566
                    143,                0.10507,                0.96636,                      1,                0.35272,             0.00021213,             0.00021213,             0.00021213
                    144,                0.10727,                0.96075,                      1,                0.35156,              0.0002086,              0.0002086,              0.0002086
                    145,                0.09818,                0.97103,                      1,                0.34491,             0.00020506,             0.00020506,             0.00020506
                    146,                 0.0832,                0.97009,                      1,                0.34772,             0.00020153,             0.00020153,             0.00020153
                    147,                0.08221,                0.96542,                      1,                0.35962,             0.00019799,             0.00019799,             0.00019799
                    148,                0.10205,                0.97383,                      1,                0.34283,             0.00019446,             0.00019446,             0.00019446
                    149,                0.09385,                0.96636,                      1,                0.34766,             0.00019092,             0.00019092,             0.00019092
                    150,                0.07763,                0.93925,                      1,                0.37933,             0.00018739,             0.00018739,             0.00018739
                    151,                0.09815,                 0.9757,                      1,                0.34686,             0.00018385,             0.00018385,             0.00018385
                    152,                0.08011,                 0.9486,                      1,                 0.3642,             0.00018032,             0.00018032,             0.00018032
                    153,                0.08854,                0.96262,                      1,                0.35168,             0.00017679,             0.00017679,             0.00017679
                    154,                0.09148,                0.96729,                      1,                0.35126,             0.00017325,             0.00017325,             0.00017325
                    155,                0.08139,                0.96542,                      1,                0.35437,             0.00016972,             0.00016972,             0.00016972
                    156,                0.07639,                0.96449,                      1,                0.35132,             0.00016618,             0.00016618,             0.00016618
                    157,                0.07733,                0.96355,                      1,                0.35144,             0.00016265,             0.00016265,             0.00016265
                    158,                0.07423,                0.96075,                      1,                0.35596,             0.00015911,             0.00015911,             0.00015911
                    159,                0.08097,                0.97477,                      1,                0.34363,             0.00015558,             0.00015558,             0.00015558
                    160,                0.08286,                0.97103,                      1,                 0.3465,             0.00015205,             0.00015205,             0.00015205
                    161,                0.07183,                0.97009,                      1,                0.34607,             0.00014851,             0.00014851,             0.00014851
                    162,                0.09771,                0.96729,                      1,                0.34894,             0.00014498,             0.00014498,             0.00014498
                    163,                0.07714,                0.97009,                      1,                0.34229,             0.00014144,             0.00014144,             0.00014144
                    164,                0.07267,                0.96729,                      1,                0.34796,             0.00013791,             0.00013791,             0.00013791
                    165,                0.08029,                 0.9757,                      1,                0.34222,             0.00013437,             0.00013437,             0.00013437
                    166,                0.06801,                0.97477,                      1,                0.34253,             0.00013084,             0.00013084,             0.00013084
                    167,                0.08808,                0.96355,                      1,                0.35223,             0.00012731,             0.00012731,             0.00012731
                    168,                0.09816,                 0.9729,                      1,                0.34753,             0.00012377,             0.00012377,             0.00012377
                    169,                0.08196,                0.97383,                      1,                0.34229,             0.00012024,             0.00012024,             0.00012024
                    170,                0.07675,                0.96822,                      1,                0.34924,              0.0001167,              0.0001167,              0.0001167
                    171,                0.07305,                 0.9729,                      1,                0.34479,             0.00011317,             0.00011317,             0.00011317
                    172,                0.07609,                0.97103,                      1,                 0.3421,             0.00010963,             0.00010963,             0.00010963
                    173,                0.06331,                0.97664,                      1,                0.33832,              0.0001061,              0.0001061,              0.0001061
                    174,                0.07537,                 0.9785,                      1,                0.33838,             0.00010257,             0.00010257,             0.00010257
                    175,                0.07384,                0.96636,                      1,                0.35028,             9.9032e-05,             9.9032e-05,             9.9032e-05
                    176,                 0.0735,                0.96916,                      1,                0.34863,             9.5498e-05,             9.5498e-05,             9.5498e-05
                    177,                0.07315,                 0.9729,                      1,                0.34222,             9.1963e-05,             9.1963e-05,             9.1963e-05
                    178,                0.07003,                0.96822,                      1,                 0.3454,             8.8429e-05,             8.8429e-05,             8.8429e-05
                    179,                0.06746,                0.97196,                      1,                0.34058,             8.4895e-05,             8.4895e-05,             8.4895e-05
                    180,                0.05734,                 0.9757,                      1,                0.34283,              8.136e-05,              8.136e-05,              8.136e-05
                    181,                0.06818,                 0.9729,                      1,                0.34082,             7.7826e-05,             7.7826e-05,             7.7826e-05
                    182,                0.07864,                0.96822,                      1,                0.34351,             7.4292e-05,             7.4292e-05,             7.4292e-05
                    183,                0.07833,                0.97383,                      1,                0.34235,             7.0757e-05,             7.0757e-05,             7.0757e-05
                    184,                0.06653,                0.97664,                      1,                0.34082,             6.7223e-05,             6.7223e-05,             6.7223e-05
                    185,                0.06564,                0.97103,                      1,                0.34344,             6.3689e-05,             6.3689e-05,             6.3689e-05
                    186,                0.06066,                0.97477,                      1,                  0.341,             6.0154e-05,             6.0154e-05,             6.0154e-05
                    187,                0.06855,                 0.9729,                      1,                0.34625,              5.662e-05,              5.662e-05,              5.662e-05
                    188,                0.05727,                 0.9729,                      1,                0.34442,             5.3086e-05,             5.3086e-05,             5.3086e-05
                    189,                0.06096,                 0.9785,                      1,                0.33771,             4.9552e-05,             4.9552e-05,             4.9552e-05
                    190,                0.06449,                0.98037,                      1,                0.33698,             4.6017e-05,             4.6017e-05,             4.6017e-05
                    191,                0.06261,                 0.9757,                      1,                 0.3399,             4.2483e-05,             4.2483e-05,             4.2483e-05
                    192,                0.06633,                0.97383,                      1,                0.34143,             3.8949e-05,             3.8949e-05,             3.8949e-05
                    193,                0.05582,                0.97664,                      1,                0.33911,             3.5414e-05,             3.5414e-05,             3.5414e-05
                    194,                0.07472,                0.98131,                      1,                0.33704,              3.188e-05,              3.188e-05,              3.188e-05
                    195,                0.05978,                0.97757,                      1,                0.33795,             2.8346e-05,             2.8346e-05,             2.8346e-05
                    196,                0.05721,                0.97944,                      1,                0.33771,             2.4812e-05,             2.4812e-05,             2.4812e-05
                    197,                0.05359,                0.97944,                      1,                0.33698,             2.1277e-05,             2.1277e-05,             2.1277e-05
                    198,                0.06839,                0.97757,                      1,                0.33746,             1.7743e-05,             1.7743e-05,             1.7743e-05
                    199,                0.05378,                0.97664,                      1,                0.33771,             1.4209e-05,             1.4209e-05,             1.4209e-05
                    200,                0.04969,                0.97757,                      1,                0.33746,             1.0674e-05,             1.0674e-05,             1.0674e-05
